District,Forecasted EV Registrations
Transport Nagar Rto Lucknow (Up32),29986.686
Varanasi Rto,24668.11
Noida,24519.812
Ghaziabad,23950.947
Kanpur Nagar,23565.934
Agra Rto,21703.355
Prayagraj Rto,20598.656
Ayodhya Rto,17939.904
Bareilly,17727.332
Meerut Rto,17213.336
Gorakhpur Rto,15548.3
Aligarh Rto,13889.709
Moradabad,13442.3955
Bijnor,12547.938
Saharanpur Rto,11526.363
Sitapur,11462.77
Pratapgarh,10626.835
Mathura,10101.363
Bahraich,9406.73
Hardoi,8874.557
Jhansirto,8842.003
Ballia,8622.872
Sahjahanpur,8382.185
Bulandshahar,7843.8184
Raibareilly,7098.968
Muzaffarnagar,7043.2295
Mahanagar Arto Lucknow (Up321),6934.307
Lakhimpur Kheri,6620.8506
Sambhal Arto,6046.888
Ghazipur,5991.001
Deoria,5262.4165
Jaunpur,5052.2437
Gonda,4753.3994
Sultanpur,4631.4263
Azamgarh Rto,4444.114
Badaun,4032.5754
Barabanki Arto,3869.5708
Unnao,3219.6494
Akbarpur(Ambedkar Nagar),3171.8452
Bandarto,3064.488
Fathehpur,2944.13
Basti Rto,2868.8096
Padrauna(Kushi Nagar),2865.541
Hapur,2864.7148
Maharajganj,2843.7383
Balrampur,2815.6611
Siddharth Nagar(Naugarh),2575.6667
Mirzapur Rto,2434.4214
Ferozabad,2402.1318
Amethi Arto,2319.6572
Mau,2229.412
Pilibhit,1998.608
Orai,1681.9904
Arto Office Rampur,1590.6182
Hathras,1527.4706
Chitrakoot,1481.2483
Jpnagar,1455.166
Kaushambi,1451.541
Kanpur Dehat,1436.7222
Farrukhabad,1375.088
Etawah,1353.2742
Baghpat,1341.4341
Sant Kabir Nagar,1324.5372
Auraiya,1290.871
Mainpuri,1260.0314
Etah,1240.8494
Chandauli,1204.469
Shravasti,1170.5436
Shamli Arto,1114.4326
Bhadohi(Sant Ravidas Nagar),1108.7639
Kannauj,1095.1156
Hamirpur(Up),1026.4053
Lalitpur,938.3274
Kasganj(Kashi Ram Nagar),931.3413
Mahoba,929.82184
Sonbhadra,889.6967
