office_name,date,monthly_registrations
Agra Rto,2024-06-01,1274.4048
Agra Rto,2024-07-01,1355.5066
Agra Rto,2024-08-01,1514.4813
Agra Rto,2024-09-01,1624.917
Agra Rto,2024-10-01,1711.9313
Agra Rto,2024-11-01,1782.36
Agra Rto,2024-12-01,1835.0359
Agra Rto,2025-01-01,1964.116
Agra Rto,2025-02-01,2057.0293
Agra Rto,2025-03-01,2145.5662
Agra Rto,2025-04-01,2196.2578
Agra Rto,2025-05-01,2241.7485
Akbarpur(Ambedkar Nagar),2024-06-01,295.78665
Akbarpur(Ambedkar Nagar),2024-07-01,251.53802
Akbarpur(Ambedkar Nagar),2024-08-01,270.2796
Akbarpur(Ambedkar Nagar),2024-09-01,269.49368
Akbarpur(Ambedkar Nagar),2024-10-01,209.42389
Akbarpur(Ambedkar Nagar),2024-11-01,203.77
Akbarpur(Ambedkar Nagar),2024-12-01,177.70584
Akbarpur(Ambedkar Nagar),2025-01-01,254.71696
Akbarpur(Ambedkar Nagar),2025-02-01,275.1395
Akbarpur(Ambedkar Nagar),2025-03-01,313.28116
Akbarpur(Ambedkar Nagar),2025-04-01,317.25568
Akbarpur(Ambedkar Nagar),2025-05-01,333.4543
Aligarh Rto,2024-06-01,705.49915
Aligarh Rto,2024-07-01,754.55994
Aligarh Rto,2024-08-01,838.4764
Aligarh Rto,2024-09-01,911.7423
Aligarh Rto,2024-10-01,963.08795
Aligarh Rto,2024-11-01,1022.55884
Aligarh Rto,2024-12-01,1078.0051
Aligarh Rto,2025-01-01,1242.2662
Aligarh Rto,2025-02-01,1383.4199
Aligarh Rto,2025-03-01,1537.5956
Aligarh Rto,2025-04-01,1663.4058
Aligarh Rto,2025-05-01,1789.0916
Amethi Arto,2024-06-01,233.76453
Amethi Arto,2024-07-01,212.9996
Amethi Arto,2024-08-01,205.5339
Amethi Arto,2024-09-01,199.53459
Amethi Arto,2024-10-01,152.24902
Amethi Arto,2024-11-01,144.06738
Amethi Arto,2024-12-01,123.09571
Amethi Arto,2025-01-01,192.56982
Amethi Arto,2025-02-01,201.2458
Amethi Arto,2025-03-01,226.59294
Amethi Arto,2025-04-01,213.93323
Amethi Arto,2025-05-01,214.07071
Arto Office Rampur,2024-06-01,175.56543
Arto Office Rampur,2024-07-01,151.65738
Arto Office Rampur,2024-08-01,144.86327
Arto Office Rampur,2024-09-01,132.44365
Arto Office Rampur,2024-10-01,102.46647
Arto Office Rampur,2024-11-01,91.409996
Arto Office Rampur,2024-12-01,72.061386
Arto Office Rampur,2025-01-01,136.78143
Arto Office Rampur,2025-02-01,142.33145
Arto Office Rampur,2025-03-01,157.95242
Arto Office Rampur,2025-04-01,144.09673
Arto Office Rampur,2025-05-01,138.9885
Auraiya,2024-06-01,141.4422
Auraiya,2024-07-01,120.887764
Auraiya,2024-08-01,116.65707
Auraiya,2024-09-01,105.4327
