date,office_name,office_code,fuel_type,registrations
2020-04-01,Agra Rto,UP80,Electric(Bov),60
2020-08-01,Agra Rto,UP80,Electric(Bov),78
2020-12-01,Agra Rto,UP80,Electric(Bov),106
2020-02-01,Agra Rto,UP80,Electric(Bov),154
2020-01-01,Agra Rto,UP80,Electric(Bov),172
2020-07-01,Agra Rto,UP80,Electric(Bov),89
2020-06-01,Agra Rto,UP80,Electric(Bov),27
2020-03-01,Agra Rto,UP80,Electric(Bov),107
2020-05-01,Agra Rto,UP80,Electric(Bov),1
2020-11-01,Agra Rto,UP80,Electric(Bov),76
2020-10-01,Agra Rto,UP80,Electric(Bov),58
2020-09-01,Agra Rto,UP80,Electric(Bov),87
2021-04-01,Agra Rto,UP80,Electric(Bov),55
2021-08-01,Agra Rto,UP80,Electric(Bov),105
2021-12-01,Agra Rto,UP80,Electric(Bov),291
2021-02-01,Agra Rto,UP80,Electric(Bov),99
2021-01-01,Agra Rto,UP80,Electric(Bov),109
2021-07-01,Agra Rto,UP80,Electric(Bov),128
2021-06-01,Agra Rto,UP80,Electric(Bov),45
2021-03-01,Agra Rto,UP80,Electric(Bov),101
2021-05-01,Agra Rto,UP80,Electric(Bov),12
2021-11-01,Agra Rto,UP80,Electric(Bov),247
2021-10-01,Agra Rto,UP80,Electric(Bov),137
2021-09-01,Agra Rto,UP80,Electric(Bov),186
2022-04-01,Agra Rto,UP80,Electric(Bov),356
2022-08-01,Agra Rto,UP80,Electric(Bov),536
2022-12-01,Agra Rto,UP80,Electric(Bov),494
2022-02-01,Agra Rto,UP80,Electric(Bov),243
2022-01-01,Agra Rto,UP80,Electric(Bov),272
2022-07-01,Agra Rto,UP80,Electric(Bov),459
2022-06-01,Agra Rto,UP80,Electric(Bov),402
2022-03-01,Agra Rto,UP80,Electric(Bov),246
2022-05-01,Agra Rto,UP80,Electric(Bov),407
2022-11-01,Agra Rto,UP80,Electric(Bov),775
2022-10-01,Agra Rto,UP80,Electric(Bov),624
2022-09-01,Agra Rto,UP80,Electric(Bov),487
2023-04-01,Agra Rto,UP80,Electric(Bov),716
2023-08-01,Agra Rto,UP80,Electric(Bov),1087
2023-12-01,Agra Rto,UP80,Electric(Bov),1207
2023-02-01,Agra Rto,UP80,Electric(Bov),531
2023-01-01,Agra Rto,UP80,Electric(Bov),449
2023-07-01,Agra Rto,UP80,Electric(Bov),1072
2023-06-01,Agra Rto,UP80,Electric(Bov),983
2023-03-01,Agra Rto,UP80,Electric(Bov),814
2023-05-01,Agra Rto,UP80,Electric(Bov),985
2023-11-01,Agra Rto,UP80,Electric(Bov),1375
2023-10-01,Agra Rto,UP80,Electric(Bov),1125
2023-09-01,Agra Rto,UP80,Electric(Bov),1268
2024-04-01,Agra Rto,UP80,Electric(Bov),679
2024-04-01,Agra Rto,UP80,Pure Ev,10
2024-04-01,Agra Rto,UP80,Strong Hybrid Ev,11
2024-02-01,Agra Rto,UP80,Electric(Bov),470
2024-01-01,Agra Rto,UP80,Electric(Bov),1486
2024-03-01,Agra Rto,UP80,Electric(Bov),1095
2024-03-01,Agra Rto,UP80,Pure Ev,1
2024-03-01,Agra Rto,UP80,Strong Hybrid Ev,5
2024-05-01,Agra Rto,UP80,Electric(Bov),861
2024-05-01,Agra Rto,UP80,Pure Ev,112
2024-05-01,Agra Rto,UP80,Strong Hybrid Ev,10
2020-08-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),24
2020-12-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),26
2020-02-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),42
2020-01-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),79
2020-07-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),27
2020-06-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),7
2020-03-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),49
2020-11-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),15
2020-10-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),33
2020-09-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),28
2021-04-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),29
2021-08-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),48
2021-12-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),93
2021-02-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),49
2021-01-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),41
2021-07-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),47
2021-06-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),22
2021-03-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),84
2021-05-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),5
2021-11-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),68
2021-10-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),84
