date,office_name,monthly_registrations,year,month,quarter,month_name,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3,growth_rate
2019-01-01,Agra Rto,170,2019,1,1,January,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,Agra Rto,138,2019,2,1,February,170.0,0.0,0.0,0.0,0.0,-0.188235294117647
2019-03-01,Agra Rto,168,2019,3,1,March,138.0,170.0,0.0,158.66666666666666,17.925772879665004,0.2173913043478261
2019-04-01,Agra Rto,195,2019,4,2,April,168.0,138.0,170.0,167.0,28.513154858766505,0.1607142857142858
2019-05-01,Agra Rto,152,2019,5,2,May,195.0,168.0,138.0,171.66666666666666,21.73323108360405,-0.2205128205128205
2019-06-01,Agra Rto,160,2019,6,2,June,152.0,195.0,168.0,169.0,22.86919325205854,0.0526315789473683
2019-07-01,Agra Rto,183,2019,7,3,July,160.0,152.0,195.0,165.0,16.093476939431078,0.14375
2019-08-01,Agra Rto,200,2019,8,3,August,183.0,160.0,152.0,181.0,20.07485989988473,0.092896174863388
2019-09-01,Agra Rto,116,2019,9,3,September,200.0,183.0,160.0,166.33333333333334,44.41095960833693,-0.42
2019-10-01,Agra Rto,161,2019,10,4,October,116.0,200.0,183.0,159.0,42.03569911396741,0.3879310344827587
2019-11-01,Agra Rto,211,2019,11,4,November,161.0,116.0,200.0,162.66666666666666,47.52192476461085,0.31055900621118
2019-12-01,Agra Rto,217,2019,12,4,December,211.0,161.0,116.0,196.33333333333331,30.74627348693389,0.028436018957346
2020-01-01,Agra Rto,172,2020,1,1,January,217.0,211.0,161.0,200.0,24.433583445741245,-0.2073732718894009
2020-02-01,Agra Rto,154,2020,2,1,February,172.0,217.0,211.0,181.0,32.44996147917591,-0.1046511627906976
2020-03-01,Agra Rto,107,2020,3,1,March,154.0,172.0,217.0,144.33333333333334,33.56088993655165,-0.3051948051948052
2020-04-01,Agra Rto,60,2020,4,2,April,107.0,154.0,172.0,107.0,47.00000000000001,-0.4392523364485982
2020-05-01,Agra Rto,1,2020,5,2,May,60.0,107.0,154.0,56.0,53.11308689955801,-0.9833333333333332
2020-06-01,Agra Rto,27,2020,6,2,June,1.0,60.0,107.0,29.33333333333333,29.569128044860136,26.0
2020-07-01,Agra Rto,89,2020,7,3,July,27.0,1.0,60.0,39.0,45.21061822182927,2.2962962962962963
2020-08-01,Agra Rto,78,2020,8,3,August,89.0,27.0,1.0,64.66666666666667,33.08070938376827,-0.1235955056179775
2020-09-01,Agra Rto,87,2020,9,3,September,78.0,89.0,27.0,84.66666666666667,5.859465277082373,0.1153846153846154
2020-10-01,Agra Rto,58,2020,10,4,October,87.0,78.0,89.0,74.33333333333333,14.8436293854749,-0.3333333333333333
2020-11-01,Agra Rto,76,2020,11,4,November,58.0,87.0,78.0,73.66666666666667,14.64012750399852,0.3103448275862068
2020-12-01,Agra Rto,106,2020,12,4,December,76.0,58.0,87.0,80.0,24.248711305964296,0.394736842105263
2021-01-01,Agra Rto,109,2021,1,1,January,106.0,76.0,58.0,97.0,18.24828759089468,0.0283018867924529
2021-02-01,Agra Rto,99,2021,2,1,February,109.0,106.0,76.0,104.66666666666669,5.1316014394469525,-0.091743119266055
2021-03-01,Agra Rto,101,2021,3,1,March,99.0,109.0,106.0,103.0,5.291502622129248,0.0202020202020201
2021-04-01,Agra Rto,55,2021,4,2,April,101.0,99.0,109.0,85.0,26.00000000000001,-0.4554455445544554
2021-05-01,Agra Rto,12,2021,5,2,May,55.0,101.0,99.0,56.0,44.50842616853578,-0.7818181818181819
2021-06-01,Agra Rto,45,2021,6,2,June,12.0,55.0,101.0,37.333333333333336,22.501851775650245,2.75
2021-07-01,Agra Rto,128,2021,7,3,July,45.0,12.0,55.0,61.66666666666666,59.76899976855338,1.8444444444444448
2021-08-01,Agra Rto,105,2021,8,3,August,128.0,45.0,12.0,92.66666666666669,42.85246006162696,-0.1796875
2021-09-01,Agra Rto,186,2021,9,3,September,105.0,128.0,45.0,139.66666666666666,41.74126655161932,0.7714285714285714
2021-10-01,Agra Rto,137,2021,10,4,October,186.0,105.0,128.0,142.66666666666666,40.79624165696313,-0.2634408602150537
2021-11-01,Agra Rto,247,2021,11,4,November,137.0,186.0,105.0,190.0,55.10898293381943,0.802919708029197
2021-12-01,Agra Rto,291,2021,12,4,December,247.0,137.0,186.0,225.0,79.32212806020777,0.1781376518218622
2022-01-01,Agra Rto,272,2022,1,1,January,291.0,247.0,137.0,270.0,22.06807649071393,-0.0652920962199312
2022-02-01,Agra Rto,243,2022,2,1,February,272.0,291.0,247.0,268.6666666666667,24.17298767908788,-0.1066176470588234
2022-03-01,Agra Rto,246,2022,3,1,March,243.0,272.0,291.0,253.66666666666663,15.947831618540963,0.0123456790123457
2022-04-01,Agra Rto,356,2022,4,2,April,246.0,243.0,272.0,281.6666666666667,64.39202849214594,0.4471544715447155
2022-05-01,Agra Rto,407,2022,5,2,May,356.0,246.0,243.0,336.3333333333333,82.28203530135441,0.1432584269662922
2022-06-01,Agra Rto,402,2022,6,2,June,407.0,356.0,246.0,388.3333333333333,28.11286775363437,-0.0122850122850123
2022-07-01,Agra Rto,459,2022,7,3,July,402.0,407.0,356.0,422.6666666666667,31.56474826976029,0.1417910447761194
2022-08-01,Agra Rto,536,2022,8,3,August,459.0,402.0,407.0,465.6666666666667,67.2482961370274,0.1677559912854029
2022-09-01,Agra Rto,487,2022,9,3,September,536.0,459.0,402.0,494.0,38.97435053981015,-0.0914179104477611
2022-10-01,Agra Rto,624,2022,10,4,October,487.0,536.0,459.0,549.0,69.41901756723442,0.2813141683778233
2022-11-01,Agra Rto,775,2022,11,4,November,624.0,487.0,536.0,628.6666666666666,144.05670179944192,0.2419871794871795
2022-12-01,Agra Rto,494,2022,12,4,December,775.0,624.0,487.0,631.0,140.6307221058045,-0.3625806451612903
2023-01-01,Agra Rto,449,2023,1,1,January,494.0,775.0,624.0,572.6666666666666,176.6644653950911,-0.0910931174089069
2023-02-01,Agra Rto,531,2023,2,1,February,449.0,494.0,775.0,491.3333333333333,41.06498914322671,0.1826280623608018
